Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2024-05-25,16:49:00,SALISBURY,Liricist,5f,7,151.0,417.05,0.030128533
2024-05-25,17:20:00,SALISBURY,Horse Whisperer,5f,2,2.75,2.79,0.36346838
2024-05-25,17:20:00,SALISBURY,Sub Thirteen,5f,4,3.5,3.95,0.353107
2024-05-25,17:20:00,SALISBURY,Boadicia,5f,1,5.5,6.54,0.32252994
2024-05-25,17:20:00,SALISBURY,Via Blanca,5f,3,8.5,10.5,0.2426992
2024-05-25,17:20:00,SALISBURY,Hot Front,5f,6,13.0,18.29,0.18026942
2024-05-25,17:20:00,SALISBURY,Tangled Up In Blue,5f,5,15.0,19.5,0.44771728
2024-05-25,17:20:00,SALISBURY,Jungle Jim,5f,7,17.0,22.0,0.07802894
2024-05-25,17:55:00,SALISBURY,Midnights Dream,6f,3,3.75,4.1,0.44029927
2024-05-25,17:55:00,SALISBURY,Noel Fox,6f,1,4.2,4.6,0.45291784
2024-05-25,17:55:00,SALISBURY,Dancing Sapphire,6f,4,5.0,5.7,0.5214985
2024-05-25,17:55:00,SALISBURY,Nevernay,6f,UR,7.5,8.93,0.45668468
2024-05-25,17:55:00,SALISBURY,Northfield Lake,6f,2,8.0,9.8,0.19973981
2024-05-25,17:55:00,SALISBURY,Little Miss Magic,6f,5,10.0,12.94,0.15267965
2024-05-25,17:55:00,SALISBURY,Alabama Anna,6f,6,15.0,19.0,0.07487551
2024-05-25,17:55:00,SALISBURY,Capital Love,6f,7,151.0,278.15,0.01641607
2024-05-25,18:30:00,SALISBURY,Sakheer,6f,6,2.25,2.38,0.21392138
2024-05-25,18:30:00,SALISBURY,Funny Story,6f,2,3.5,4.0,0.54826456
2024-05-25,18:30:00,SALISBURY,Raqiya,6f,1,6.0,7.32,0.22116925
2024-05-25,18:30:00,SALISBURY,Harry Three,6f,4,9.0,10.0,0.028901057
2024-05-25,18:30:00,SALISBURY,Equilateral,6f,5,15.0,19.39,0.0067531983
2024-05-25,18:30:00,SALISBURY,Mister Sketch,6f,3,17.0,22.43,0.104857884
2024-05-25,19:00:00,SALISBURY,Hilltop,7f,5,3.0,3.13,0.71694803
2024-05-25,19:00:00,SALISBURY,Flavour Maker,7f,2,5.0,5.87,0.35813603
2024-05-25,19:00:00,SALISBURY,Silver Trumpet,7f,1,7.0,8.2,0.2619989
2024-05-25,19:00:00,SALISBURY,Master Franca,7f,6,7.5,8.73,0.26073724
2024-05-25,19:00:00,SALISBURY,Yellow Pages,7f,3,7.5,9.07,0.3508276
2024-05-25,19:00:00,SALISBURY,Mullins Beach,7f,7,11.0,12.97,0.102312855
2024-05-25,19:00:00,SALISBURY,Duke Wellington,7f,8,17.0,26.0,0.12577637
2024-05-25,19:00:00,SALISBURY,Blue Akoya,7f,4,17.0,23.48,0.060838945
2024-05-25,19:30:00,SALISBURY,Test Of Love,7f,1,4.0,4.07,0.5290459
2024-05-25,19:30:00,SALISBURY,Enpassant,7f,6,5.0,6.3,0.13166788
2024-05-25,19:30:00,SALISBURY,Tayala,7f,4,6.0,7.2,0.34137544
2024-05-25,19:30:00,SALISBURY,Wonder Smile,7f,2,8.0,10.5,0.37898564
2024-05-25,19:30:00,SALISBURY,Loaded Quiver,7f,3,9.5,11.92,0.109608494
2024-05-25,19:30:00,SALISBURY,Johnny Johnson,7f,7,10.0,11.75,0.13649528
2024-05-25,19:30:00,SALISBURY,Glitterella,7f,9,11.0,12.95,0.102538526
2024-05-25,19:30:00,SALISBURY,Zinchenko,7f,8,13.0,14.02,0.09431493
2024-05-25,19:30:00,SALISBURY,Cherry Hill,7f,10,34.0,46.59,0.006944805
2024-05-25,19:30:00,SALISBURY,Invincible Navy,7f,5,34.0,47.71,0.020037612
2024-05-25,20:00:00,SALISBURY,Midnight Rumble,1m2f,2,3.5,3.62,0.60680443
2024-05-25,20:00:00,SALISBURY,Nothing To Fear,1m2f,4,3.75,4.22,0.6969633
2024-05-25,20:00:00,SALISBURY,Ravenswell,1m2f,3,6.5,8.0,0.303484
2024-05-25,20:00:00,SALISBURY,Battle Of Omdurman,1m2f,5,7.0,7.4,0.3485556
2024-05-25,20:00:00,SALISBURY,Rosenzoo,1m2f,6,9.0,11.0,0.20174918
2024-05-25,20:00:00,SALISBURY,Geliceaux,1m2f,1,10.0,12.54,0.23860185
2024-05-25,20:00:00,SALISBURY,Rich Harry,1m2f,7,15.0,18.63,0.15440848
